"Academy","#Athlete","% Athlete","#Gold","#Silver","#Bonze","% Success","#Score"
"JOO ROQUE JJ","1","0.00028256569652444194","1","0","0","1.0","10617.0"
"RALPH GRACIE","1","0.00028256569652444194","0","0","0","0.0","0.0"
"THE GYM","4","0.0011302627860977678","0","1","0","0.25","1769.5"
"STEALTH BJJ","4","0.0011302627860977678","0","0","0","0.0","0.0"
"ALLIANCE INTERNATIONAL","28","0.007911839502684374","0","1","2","0.10714285714285714","505.5714285714286"
"DE LA RIVA JJ","3","0.0008476970895733258","0","0","0","0.0","0.0"
"TEAM MANOEL NETO BJJ","11","0.0031082226617688614","1","1","3","0.45454545454545453","2573.8181818181815"
"CEI JIU-JITSU","1","0.00028256569652444194","0","0","0","0.0","0.0"
"HILTI BJJ VANTAA","9","0.002543091268719977","0","2","1","0.3333333333333333","1966.1111111111113"
"VALKO BJJ ACADEMY","1","0.00028256569652444194","0","0","0","0.0","0.0"
"XANDE JIU JITSU","2","0.0005651313930488839","0","0","0","0.0","0.0"
"JIU-JITSU FOUNDATION","1","0.00028256569652444194","0","0","0","0.0","0.0"
"RENZO GRACIE ISRAEL","5","0.0014128284826222096","1","1","0","0.4","3539.0"
"CHECKMAT EUROPA","8","0.0022605255721955355","0","0","0","0.0","0.0"
"EMIRATES JIU JITSU CENTER BARCELONA","3","0.0008476970895733258","0","0","0","0.0","0.0"
"DELARIVA JAPAN","1","0.00028256569652444194","0","0","1","1.0","3539.0"
"GRACIE BARRA EUROPE","15","0.004238485447866629","0","1","0","0.06666666666666667","471.8666666666666"
"RENZO GRACIE INTERNATIONAL","14","0.003955919751342187","2","1","3","0.42857142857142855","2780.6428571428573"
"NAKACHE BRAZILIAN JIU JITSU ACADEMY","3","0.0008476970895733258","0","0","1","0.3333333333333333","1179.6666666666667"
"TEAM LEITES STOCKHOLM","4","0.0011302627860977678","0","0","1","0.25","884.75"
"LUDUS BRAZILIAN TOP TEAM","9","0.002543091268719977","1","0","1","0.2222222222222222","1572.888888888889"
"99 NINE NINE JJ - INTERNATIONAL","2","0.0005651313930488839","0","0","1","0.5","1769.5"
"BAD BOYS JJ","2","0.0005651313930488839","1","0","0","0.5","5308.5"
"ACADEMY CAVEIRINHA","4","0.0011302627860977678","0","0","1","0.25","884.75"
"BMA FRANCE","5","0.0014128284826222096","0","0","0","0.0","0.0"
"SUL JJ CAXIAS DO SUL","6","0.0016953941791466515","1","1","1","0.5","3539.0"
"CLUBE DE JIU-JITSU PITBULL CZECH REPUBLIC","6","0.0016953941791466515","0","1","0","0.16666666666666666","1179.6666666666667"
"PROFESSIONAL TRAINING CENTER","1","0.00028256569652444194","0","0","0","0.0","0.0"
"KENNY KIM BJJ","1","0.00028256569652444194","0","0","0","0.0","0.0"
