"Game","#Athlete","Avg. round"
"PURPLE_JUVENILE_2_MALE_LIGHT","1","0.0"
"BLACK_ADULT_MALE_MEDIUM_HEAVY","16","4.0"
"WHITE_MASTER_1_MALE_LIGHT_FEATHER","3","1.3333333333333333"
"PURPLE_MASTER_3_MALE_HEAVY","5","2.8"
"BLUE_ADULT_MALE_HEAVY","36","5.694444444444445"
"BLACK_MASTER_5_MALE_LIGHT","2","1.0"
"BLUE_MASTER_1_MALE_LIGHT","35","5.714285714285714"
"PURPLE_MASTER_1_MALE_FEATHER","17","4.9411764705882355"
"BLACK_ADULT_FEMALE_MEDIUM_HEAVY","4","2.0"
"BLUE_MASTER_6_MALE_LIGHT","2","1.0"
"PURPLE_ADULT_FEMALE_MIDDLE","8","3.0"
"BROWN_MASTER_3_MALE_MEDIUM_HEAVY","7","2.5714285714285716"
"PURPLE_MASTER_3_MALE_LIGHT_FEATHER","2","1.0"
"BLUE_MASTER_2_MALE_FEATHER","18","4.888888888888889"
"BLUE_ADULT_FEMALE_FEATHER","18","4.888888888888889"
"BLACK_MASTER_2_MALE_FEATHER","8","3.0"
"BROWN_MASTER_2_MALE_MEDIUM_HEAVY","10","3.9"
"BLUE_JUVENILE_1_FEMALE_LIGHT","2","1.0"
"WHITE_MASTER_2_MALE_FEATHER","8","3.0"
"BLUE_MASTER_3_MALE_SUPER_HEAVY","5","2.8"
"BLACK_MASTER_1_FEMALE_FEATHER","1","0.0"
"WHITE_MASTER_1_MALE_MEDIUM_HEAVY","16","4.0"
"BLACK_MASTER_3_MALE_HEAVY","5","2.8"
"BROWN_MASTER_4_MALE_MEDIUM_HEAVY","3","1.3333333333333333"
"BROWN_MASTER_5_MALE_MEDIUM_HEAVY","1","0.0"
"PURPLE_MASTER_2_MALE_SUPER_HEAVY","7","2.5714285714285716"
"BROWN_MASTER_1_MALE_HEAVY","7","2.5714285714285716"
"BLUE_MASTER_1_MALE_ROOSTER","3","1.3333333333333333"
"PURPLE_MASTER_3_MALE_SUPER_HEAVY","6","2.6666666666666665"
"BLACK_MASTER_1_FEMALE_HEAVY","1","0.0"
