"Academy","#Athlete","% Athlete","#Gold","#Silver","#Bonze","% Success","#Score"
"","1","0.0003401360544217687","0","0","0","0.0","0.0"
"CEI JIU-JITSU","1","0.0003401360544217687","0","0","0","0.0","0.0"
"CLOCKWORK JIU-JITSU","1","0.0003401360544217687","0","0","0","0.0","0.0"
"SBG DRAYTON VALLEY","2","0.0006802721088435374","0","0","0","0.0","0.0"
"FABIO GURGEL","1","0.0003401360544217687","0","0","0","0.0","0.0"
"COBRA KAI JIU JITSU","1","0.0003401360544217687","0","0","0","0.0","0.0"
"AB MIXED MARTIAL ARTS ACADEMY","3","0.0010204081632653062","0","0","0","0.0","0.0"
"C3/ CESAR PEREIRA BRAZILIAN JIU JITSU","1","0.0003401360544217687","0","0","0","0.0","0.0"
"MESTRE WILSON","1","0.0003401360544217687","0","0","0","0.0","0.0"
"BONSAI JJ - CHICAGO","1","0.0003401360544217687","0","0","0","0.0","0.0"
"UAE JIU-JITSU TEAM","4","0.0013605442176870747","0","0","0","0.0","0.0"
"WARRIOR WAY","1","0.0003401360544217687","0","0","0","0.0","0.0"
"YAMASAKI ACADEMY","3","0.0010204081632653062","0","0","0","0.0","0.0"
"FIFTY/50 JIU-JITSU","2","0.0006802721088435374","0","0","0","0.0","0.0"
"ROCHA JIU JITSU","1","0.0003401360544217687","0","0","0","0.0","0.0"
"RIBEIRO JIU-JITSU BRASIL","1","0.0003401360544217687","0","0","0","0.0","0.0"
"RYAN GRACIE TEAM","6","0.0020408163265306124","0","0","0","0.0","0.0"
"ROOTS BJJ","1","0.0003401360544217687","0","0","0","0.0","0.0"
"CARLOS SAPAO BJJ","1","0.0003401360544217687","0","0","0","0.0","0.0"
"BOCA TEAM","1","0.0003401360544217687","0","0","0","0.0","0.0"
"ACADEMIA EDUARDO SANTORO","1","0.0003401360544217687","0","0","0","0.0","0.0"
"ROGER GRACIE ESPAA","1","0.0003401360544217687","0","0","0","0.0","0.0"
"MARCIO CRUZ BRAZILIAN JIU-JITSU","1","0.0003401360544217687","0","0","0","0.0","0.0"
"HIGHER GROUND BJJ","2","0.0006802721088435374","0","0","0","0.0","0.0"
"COLORADO BJJ","1","0.0003401360544217687","0","0","0","0.0","0.0"
"BJJ REVOLUTION BR","1","0.0003401360544217687","0","0","0","0.0","0.0"
"HOLLYWOOD BRAZILIAN JIU JITSU","1","0.0003401360544217687","0","0","0","0.0","0.0"
"ATOS JJ RIO CLARO","10","0.003401360544217687","0","0","0","0.0","0.0"
"LOTUS CLUB CRICIMA / SC","1","0.0003401360544217687","0","0","0","0.0","0.0"
"GRACIE HUMAITA USA","4","0.0013605442176870747","0","0","0","0.0","0.0"
"BSB JIU-JITSU TEAM","1","0.0003401360544217687","0","0","0","0.0","0.0"
"ALLIANCE ES","3","0.0010204081632653062","0","0","0","0.0","0.0"
"CLEBER JIU JITSU","15","0.00510204081632653","0","0","0","0.0","0.0"
"TEAM GIGUETO","1","0.0003401360544217687","0","0","0","0.0","0.0"
"IRON LION JIU-JITSU ACADEMY","2","0.0006802721088435374","0","0","0","0.0","0.0"
"IMMERSION MIXED MARTIAL ARTS","3","0.0010204081632653062","0","0","0","0.0","0.0"
"ALLIANCE JIUJITSU SAN FRANCISCO","1","0.0003401360544217687","0","0","0","0.0","0.0"
"SONO BJJ","2","0.0006802721088435374","0","0","0","0.0","0.0"
"VICTORY BJJ","1","0.0003401360544217687","0","0","0","0.0","0.0"
"GUILLOBEL BRAZILIAN JIU-JITSU","1","0.0003401360544217687","0","0","0","0.0","0.0"
"ACADEMIA CM SYSTEM","2","0.0006802721088435374","0","0","0","0.0","0.0"
"RENZO GRACIE PENNSYLVANIA ACADEMY","1","0.0003401360544217687","0","0","0","0.0","0.0"
"ZENITH BJJ - LAS VEGAS","1","0.0003401360544217687","0","0","0","0.0","0.0"
"BETA ACADEMY","2","0.0006802721088435374","0","0","0","0.0","0.0"
"FUKUZUMI JIU-JITSU","1","0.0003401360544217687","0","0","0","0.0","0.0"
"BIG BROTHERS","2","0.0006802721088435374","0","0","0","0.0","0.0"
"TEAM REDZOVIC","4","0.0013605442176870747","0","0","0","0.0","0.0"
"DETHRONE BASE CAMP","3","0.0010204081632653062","0","0","0","0.0","0.0"
"BEVERLY HILLS JIU JITSU CLUB","3","0.0010204081632653062","0","0","0","0.0","0.0"
"SOLIS MARTIAL ARTS ACADEMY","3","0.0010204081632653062","0","0","0","0.0","0.0"
"MIKYO RIGGS JIU JITSU","1","0.0003401360544217687","0","0","0","0.0","0.0"
"MONGOLIAN BJJ","8","0.0027210884353741495","0","0","0","0.0","0.0"
"MARIO SUKATA INTERNATIONAL","1","0.0003401360544217687","0","0","0","0.0","0.0"
"MCVICKER'S BJJ","2","0.0006802721088435374","0","0","0","0.0","0.0"
"WINNERJJ","2","0.0006802721088435374","0","0","0","0.0","0.0"
"TEAM FERREIRA BJJ","1","0.0003401360544217687","0","0","0","0.0","0.0"
"BLACK BELT JIU JITSU CLUB","1","0.0003401360544217687","0","0","0","0.0","0.0"
"NORFIGHT","1","0.0003401360544217687","0","0","0","0.0","0.0"
"SERAO MIXED MARTIAL ARTS","2","0.0006802721088435374","0","0","0","0.0","0.0"
"CHECKMAT USA","11","0.0037414965986394557","0","0","0","0.0","0.0"
"WERDUM COMBAT TEAM USA","2","0.0006802721088435374","0","0","0","0.0","0.0"
"SOUTH BJJ","3","0.0010204081632653062","0","0","0","0.0","0.0"
"G13 BJJ","3","0.0010204081632653062","0","0","0","0.0","0.0"
