"Academy","Belt","Category","Gender","Weight","#Athlete","#Gold","#Silver","#Bronze"
"","BLUE","ADULT","MALE","MEDIUM HEAVY","1","0","0","0"
"CEI JIU-JITSU","BLUE","ADULT","FEMALE","FEATHER","1","0","0","0"
"CLOCKWORK JIU-JITSU","PURPLE","ADULT","MALE","ULTRA HEAVY","1","0","0","0"
"SBG DRAYTON VALLEY","BLUE","JUVENILE 1","FEMALE","MIDDLE","1","0","0","0"
"SBG DRAYTON VALLEY","BLUE","JUVENILE 2","MALE","LIGHT","1","0","0","0"
"FABIO GURGEL","BLUE","ADULT","MALE","LIGHT","1","0","0","0"
"COBRA KAI JIU JITSU","BLUE","JUVENILE 2","FEMALE","FEATHER","1","0","0","0"
"AB MIXED MARTIAL ARTS ACADEMY","WHITE","MASTER 1","MALE","HEAVY","1","0","0","0"
"AB MIXED MARTIAL ARTS ACADEMY","BLUE","ADULT","MALE","MEDIUM HEAVY","1","0","0","0"
"AB MIXED MARTIAL ARTS ACADEMY","BLUE","ADULT","MALE","LIGHT","1","0","0","0"
"C3/ CESAR PEREIRA BRAZILIAN JIU JITSU","BLUE","ADULT","MALE","LIGHT","1","0","0","0"
"MESTRE WILSON","BLACK","ADULT","FEMALE","LIGHT FEATHER","1","0","0","0"
"BONSAI JJ - CHICAGO","BLUE","ADULT","FEMALE","FEATHER","1","0","0","0"
"UAE JIU-JITSU TEAM","PURPLE","ADULT","MALE","ULTRA HEAVY","1","0","0","0"
"UAE JIU-JITSU TEAM","BLACK","ADULT","MALE","FEATHER","1","0","0","0"
"UAE JIU-JITSU TEAM","BLACK","ADULT","MALE","ULTRA HEAVY","1","0","0","0"
"UAE JIU-JITSU TEAM","PURPLE","ADULT","MALE","MEDIUM HEAVY","1","0","0","0"
"WARRIOR WAY","BLUE","JUVENILE 2","FEMALE","MIDDLE","1","0","0","0"
"YAMASAKI ACADEMY","PURPLE","ADULT","MALE","FEATHER","1","0","0","0"
"YAMASAKI ACADEMY","BROWN","ADULT","MALE","MIDDLE","1","0","0","0"
"YAMASAKI ACADEMY","PURPLE","ADULT","MALE","LIGHT","1","0","0","0"
"FIFTY/50 JIU-JITSU","BLUE","ADULT","FEMALE","LIGHT FEATHER","1","0","0","0"
"FIFTY/50 JIU-JITSU","PURPLE","ADULT","FEMALE","HEAVY","1","0","0","0"
"ROCHA JIU JITSU","BROWN","ADULT","MALE","MIDDLE","1","0","0","0"
"RIBEIRO JIU-JITSU BRASIL","PURPLE","ADULT","MALE","MEDIUM HEAVY","1","0","0","0"
"RYAN GRACIE TEAM","BROWN","ADULT","MALE","MIDDLE","1","0","0","0"
"RYAN GRACIE TEAM","BLUE","ADULT","MALE","LIGHT FEATHER","1","0","0","0"
"RYAN GRACIE TEAM","BLACK","ADULT","MALE","MIDDLE","2","0","0","0"
"RYAN GRACIE TEAM","BROWN","ADULT","MALE","MEDIUM HEAVY","1","0","0","0"
"RYAN GRACIE TEAM","PURPLE","ADULT","MALE","MIDDLE","1","0","0","0"
"ROOTS BJJ","BLUE","ADULT","MALE","FEATHER","1","0","0","0"
"CARLOS SAPAO BJJ","BLUE","ADULT","MALE","HEAVY","1","0","0","0"
"BOCA TEAM","BLUE","ADULT","FEMALE","LIGHT FEATHER","1","0","0","0"
"ACADEMIA EDUARDO SANTORO","BLACK","ADULT","MALE","MIDDLE","1","0","0","0"
"ROGER GRACIE ESPAA","BROWN","ADULT","MALE","MIDDLE","1","0","0","0"
"MARCIO CRUZ BRAZILIAN JIU-JITSU","BLUE","ADULT","MALE","MEDIUM HEAVY","1","0","0","0"
"HIGHER GROUND BJJ","BLACK","ADULT","MALE","FEATHER","1","0","0","0"
"HIGHER GROUND BJJ","WHITE","ADULT","FEMALE","LIGHT FEATHER","1","0","0","0"
"COLORADO BJJ","WHITE","MASTER 1","MALE","SUPER HEAVY","1","0","0","0"
"BJJ REVOLUTION BR","BLUE","ADULT","MALE","LIGHT","1","0","0","0"
"HOLLYWOOD BRAZILIAN JIU JITSU","PURPLE","ADULT","MALE","FEATHER","1","0","0","0"
"ATOS JJ RIO CLARO","PURPLE","ADULT","MALE","FEATHER","2","0","0","0"
"ATOS JJ RIO CLARO","PURPLE","ADULT","MALE","LIGHT","2","0","0","0"
"ATOS JJ RIO CLARO","PURPLE","ADULT","MALE","MEDIUM HEAVY","1","0","0","0"
