"JOO ROQUE JJ","BLACK","MASTER 5","MALE","MEDIUM HEAVY","1"
"RALPH GRACIE","BROWN","ADULT","MALE","HEAVY","1"
"THE GYM","BLUE","ADULT","MALE","FEATHER","2"
"THE GYM","PURPLE","ADULT","FEMALE","FEATHER","1"
"THE GYM","BLUE","ADULT","MALE","LIGHT","1"
"STEALTH BJJ","PURPLE","ADULT","MALE","FEATHER","1"
"STEALTH BJJ","PURPLE","MASTER 1","MALE","HEAVY","1"
"STEALTH BJJ","WHITE","MASTER 2","MALE","LIGHT","1"
"STEALTH BJJ","WHITE","ADULT","FEMALE","FEATHER","1"
"ALLIANCE INTERNATIONAL","WHITE","ADULT","MALE","HEAVY","1"
"ALLIANCE INTERNATIONAL","WHITE","ADULT","MALE","MIDDLE","2"
"ALLIANCE INTERNATIONAL","BLUE","ADULT","MALE","MIDDLE","2"
"ALLIANCE INTERNATIONAL","BLUE","ADULT","MALE","HEAVY","2"
"ALLIANCE INTERNATIONAL","WHITE","MASTER 1","MALE","HEAVY","1"
"ALLIANCE INTERNATIONAL","BROWN","ADULT","MALE","LIGHT","2"
"ALLIANCE INTERNATIONAL","PURPLE","ADULT","MALE","LIGHT","1"
"ALLIANCE INTERNATIONAL","BLACK","MASTER 1","MALE","HEAVY","1"
"ALLIANCE INTERNATIONAL","BLUE","ADULT","FEMALE","LIGHT","1"
"ALLIANCE INTERNATIONAL","PURPLE","ADULT","MALE","MIDDLE","2"
"ALLIANCE INTERNATIONAL","PURPLE","MASTER 1","MALE","MEDIUM HEAVY","1"
"ALLIANCE INTERNATIONAL","WHITE","ADULT","MALE","LIGHT","2"
"ALLIANCE INTERNATIONAL","BLUE","MASTER 2","MALE","LIGHT","1"
"ALLIANCE INTERNATIONAL","PURPLE","ADULT","MALE","FEATHER","1"
"ALLIANCE INTERNATIONAL","WHITE","ADULT","MALE","FEATHER","1"
"ALLIANCE INTERNATIONAL","BLUE","ADULT","MALE","LIGHT FEATHER","2"
"ALLIANCE INTERNATIONAL","BLUE","ADULT","FEMALE","MIDDLE","1"
"ALLIANCE INTERNATIONAL","PURPLE","ADULT","MALE","MEDIUM HEAVY","2"
"ALLIANCE INTERNATIONAL","PURPLE","MASTER 2","MALE","MEDIUM HEAVY","1"
"ALLIANCE INTERNATIONAL","BLUE","ADULT","MALE","LIGHT","1"
"DE LA RIVA JJ","BLUE","MASTER 1","MALE","LIGHT","1"
"DE LA RIVA JJ","BLACK","MASTER 1","MALE","MIDDLE","1"
"DE LA RIVA JJ","PURPLE","MASTER 2","MALE","MIDDLE","1"
"TEAM MANOEL NETO BJJ","PURPLE","ADULT","MALE","FEATHER","1"
"TEAM MANOEL NETO BJJ","WHITE","ADULT","MALE","MIDDLE","1"
"TEAM MANOEL NETO BJJ","BROWN","ADULT","MALE","MIDDLE","1"
"TEAM MANOEL NETO BJJ","BLUE","MASTER 2","MALE","LIGHT FEATHER","1"
"TEAM MANOEL NETO BJJ","BLUE","MASTER 2","MALE","SUPER HEAVY","1"
"TEAM MANOEL NETO BJJ","BLUE","MASTER 1","MALE","LIGHT","1"
"TEAM MANOEL NETO BJJ","WHITE","MASTER 2","MALE","MIDDLE","1"
"TEAM MANOEL NETO BJJ","BLUE","ADULT","MALE","LIGHT FEATHER","1"
"TEAM MANOEL NETO BJJ","BLUE","MASTER 1","MALE","MEDIUM HEAVY","1"
"TEAM MANOEL NETO BJJ","PURPLE","MASTER 1","MALE","SUPER HEAVY","1"
"TEAM MANOEL NETO BJJ","PURPLE","ADULT","FEMALE","LIGHT FEATHER","1"
"CEI JIU-JITSU","BLUE","ADULT","MALE","MIDDLE","1"
"HILTI BJJ VANTAA","PURPLE","ADULT","MALE","FEATHER","1"
"HILTI BJJ VANTAA","PURPLE","MASTER 3","MALE","MIDDLE","1"
"HILTI BJJ VANTAA","PURPLE","MASTER 3","MALE","LIGHT","1"
"HILTI BJJ VANTAA","BLUE","MASTER 1","MALE","MIDDLE","1"
"HILTI BJJ VANTAA","BLUE","ADULT","MALE","FEATHER","1"
"HILTI BJJ VANTAA","WHITE","ADULT","FEMALE","LIGHT FEATHER","1"
"HILTI BJJ VANTAA","BLUE","MASTER 2","MALE","FEATHER","1"
"HILTI BJJ VANTAA","BLUE","ADULT","MALE","LIGHT","2"
"VALKO BJJ ACADEMY","BLUE","MASTER 2","MALE","MEDIUM HEAVY","1"
"XANDE JIU JITSU","WHITE","ADULT","MALE","LIGHT","2"
"JIU-JITSU FOUNDATION","PURPLE","ADULT","MALE","FEATHER","1"
"RENZO GRACIE ISRAEL","PURPLE","MASTER 2","MALE","SUPER HEAVY","1"
"RENZO GRACIE ISRAEL","BLUE","JUVENILE 1","MALE","HEAVY","1"
"RENZO GRACIE ISRAEL","WHITE","ADULT","MALE","LIGHT","1"
"RENZO GRACIE ISRAEL","BLUE","JUVENILE 1","MALE","MIDDLE","1"
"RENZO GRACIE ISRAEL","PURPLE","ADULT","MALE","LIGHT FEATHER","1"
"CHECKMAT EUROPA","BLUE","ADULT","MALE","MIDDLE","2"
"CHECKMAT EUROPA","PURPLE","ADULT","MALE","LIGHT","1"
"CHECKMAT EUROPA","PURPLE","MASTER 1","MALE","MEDIUM HEAVY","1"
"CHECKMAT EUROPA","BLUE","MASTER 1","MALE","MIDDLE","1"
"CHECKMAT EUROPA","WHITE","ADULT","MALE","FEATHER","1"
"CHECKMAT EUROPA","BLUE","ADULT","MALE","LIGHT","2"
"EMIRATES JIU JITSU CENTER BARCELONA","BLUE","ADULT","MALE","FEATHER","1"
"EMIRATES JIU JITSU CENTER BARCELONA","PURPLE","MASTER 1","MALE","LIGHT","1"
"EMIRATES JIU JITSU CENTER BARCELONA","PURPLE","ADULT","MALE","LIGHT","1"
"DELARIVA JAPAN","BLACK","ADULT","MALE","LIGHT FEATHER","1"
"GRACIE BARRA EUROPE","WHITE","ADULT","MALE","MIDDLE","2"
"GRACIE BARRA EUROPE","BLUE","ADULT","MALE","MIDDLE","2"
"GRACIE BARRA EUROPE","PURPLE","ADULT","MALE","LIGHT","1"
"GRACIE BARRA EUROPE","BLUE","ADULT","MALE","MEDIUM HEAVY","2"
"GRACIE BARRA EUROPE","WHITE","ADULT","MALE","LIGHT","2"
"GRACIE BARRA EUROPE","PURPLE","ADULT","MALE","MIDDLE","2"
"GRACIE BARRA EUROPE","PURPLE","ADULT","MALE","MEDIUM HEAVY","2"
"GRACIE BARRA EUROPE","BLUE","ADULT","MALE","LIGHT","2"
"RENZO GRACIE INTERNATIONAL","BLUE","MASTER 3","MALE","ULTRA HEAVY","1"
